Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-04-24 00:00:00-04:00,92.20592278710451,98.86387922383311,91.05549627337449,96.5811538696289,3875000,0.0,0.0
2020-04-27 00:00:00-04:00,99.12657216027432,105.77546802626155,98.5377718040682,105.09608459472656,4460900,0.0,0.0
2020-04-28 00:00:00-04:00,110.67608218331725,113.23056341757595,101.30059291455098,101.37306213378906,4820500,0.0,0.0
2020-04-29 00:00:00-04:00,102.53254562047019,104.1358874142583,98.97257630438602,102.85865020751953,2191800,0.0,0.0
2020-04-30 00:00:00-04:00,100.91107096774661,102.12489918765009,98.83668639200403,99.7425308227539,2395300,0.0,0.0
2020-05-01 00:00:00-04:00,98.42000987473996,99.05409828330637,95.49412899282272,98.56494140625,2181600,0.0,0.0
2020-05-04 00:00:00-04:00,97.72249085052711,98.64645600366771,96.82570683451533,97.17898559570312,1426600,0.0,0.0
2020-05-05 00:00:00-04:00,97.99424985422229,99.72440910660193,97.5594414907769,98.11200714111328,1580800,0.0,0.0
2020-05-06 00:00:00-04:00,98.60117193282495,99.18091185694293,96.41809029285932,97.29676055908203,1066100,0.0,0.0
2020-05-07 00:00:00-04:00,98.20260432114685,98.49247428104147,96.38185496406616,97.25146484375,1121200,0.0,0.0
2020-05-08 00:00:00-04:00,98.61929197393367,102.33325299543944,97.17899564313993,101.65386962890625,1673600,0.0,0.0
2020-05-11 00:00:00-04:00,100.52157091507092,100.95637242929986,98.62835221002292,100.48533630371094,1504600,0.0,0.0
2020-05-12 00:00:00-04:00,101.24624270687762,102.03432995642268,97.50510718878657,97.66815948486328,1215600,0.0,0.0
2020-05-13 00:00:00-04:00,98.35658700634056,99.15372759357152,95.44882729996792,97.0702896118164,1418200,0.0,0.0
2020-05-14 00:00:00-04:00,96.4090291029419,100.34039086228232,94.91438431601877,100.06864166259766,1774200,0.0,0.0
2020-05-15 00:00:00-04:00,99.72443228746337,101.66294615942537,99.49797112930922,100.62122344970703,2406300,0.0,0.0
2020-05-18 00:00:00-04:00,102.52348058173793,103.61955159522405,98.67364146442473,98.77328491210938,1761300,0.0,0.0
2020-05-19 00:00:00-04:00,98.40187452787453,100.92918122918938,97.84930889186782,99.84217071533203,1411800,0.0,0.0
2020-05-20 00:00:00-04:00,101.81690367795625,106.82622169759391,101.63573066603507,103.23001861572266,1788200,0.0,0.0
2020-05-21 00:00:00-04:00,103.14851937659586,103.14851937659586,101.47270146307578,102.35137176513672,898900,0.0,0.0
2020-05-22 00:00:00-04:00,102.57782114977942,102.57782114977942,100.96541917279247,102.20642852783203,770400,0.0,0.0
2020-05-26 00:00:00-04:00,104.4438707138424,104.60692299575598,101.72633728931271,102.13396453857422,1176100,0.0,0.0
2020-05-27 00:00:00-04:00,101.59048017986846,105.21385882624061,99.78785123839128,104.66129302978516,1681300,0.0,0.0
2020-05-28 00:00:00-04:00,105.82979602879448,108.55638251953923,104.55255219054929,106.95304107666016,1521800,0.0,0.0
2020-05-29 00:00:00-04:00,107.59620991420569,107.98572333038977,104.56163218446902,107.1432876586914,2183100,0.0,0.0
